,id,event,source,text,lang,lang_conf,class_label
3167,503644573672157184,2014_california_earthquake,crisisnlp-cf,Dozens hurt in California wine country after magnitude 6.0 quake http://t.co/wwkgcnOI0y,en,,informative
3174,575745591340220417,2015_vanuatu_cyclone,crisisnlp-cf,"#cyclone pam ‰ÛÒ freshen up starts on #storm ravaged #vanuatu: 3 days after cyclone pam, folks‰Û_ http://t.co/B3jAUkjyEG",en,,informative
3175,382818398628884481,2013_pakistan_earthquake,crisisnlp-cf,RT @kkfpk: Pic-1 #MQM #KKF distribute relief goods in #Balochistan #Earthquake Victims #Pakistan http://t.co/ZYykQR6gn7,en,1.0,informative
3177,382835881008451584,2013_pakistan_earthquake,crisisnlp-cf,#Earthquake in #Pakistan - At least 327 #killed and 400 injured - #Deadliest earthquake since October 2011!  - http://t.co/rt0xbSdRKm,en,1.0,informative
3178,591902952912097280,2015_nepal_earthquake,crisisnlp-cf,RT @peymaneh123: #Iran's @NCRI_Women_Comm message of condolences to victims of #NepalEarthquake  https://t.co/gthrl24zh3,en,,informative
3181,382814125899784192,2013_pakistan_earthquake,crisisnlp-cf,"2.4 magnitude #earthquake. 18km N of Middleton Island, Alaska.http://t.co/pZJnCOqquV",en,1.0,informative
3185,451188914863505408,2014_chile_earthquake,crisisnlp-cf,"BREAKING: At least 2 dead, 3 seriously injured after the 8.2 quake - Chilean authorities http://t.co/AzaIZlxuH8 #Chile #Sun",en,1.0,informative
3186,591902709579698176,2015_nepal_earthquake,crisisnlp-cf,RT @UNICEFmedia: We are responding to #NepalEarthquake. @UNICEF worker with a little girl in need of temporary shelter in #Kathmandu http:/‰Û_,en,,informative
3190,451189278077227009,2014_chile_earthquake,crisisnlp-cf,Don't  #PrayForChile actually do something useful,en,1.0,informative
3195,451189462815744000,2014_chile_earthquake,crisisnlp-cf,"RT @BreakingNews: 2 dead, 3 seriously injured after massive earthquake strikes off coast of Chile, authorities confirm - @Reuters http://t.äó_",en,1.0,informative
3203,451188625372643328,2014_chile_earthquake,crisisnlp-cf,"URGENTE #SISMO 7.4 #earthquake! Wed Apr 02 21:43:14 EST 2014 near 40km SW of #Iquique, #Chile http://t.co/UHoGVTUYvF http://t.co/dsdxhNhL4f",en,0.6117025017738342,informative
3206,451190374456131584,2014_chile_earthquake,crisisnlp-cf,"Chile hit by 8.2 earthquake, tsunami 5 people killed &amp; 300 female inmates escape--look out guys.",en,1.0,informative
3207,451189687223607296,2014_chile_earthquake,crisisnlp-cf,RT @eritikacelia: What happend to World nowdays? #PrayForINA#PrayForSouthKorea #PrayForChile #PrayforUkraine #PrayForNigeria,en,0.9585456252098083,informative
3209,503643317855207424,2014_california_earthquake,crisisnlp-cf,RT @SocialInLA: Napa earthquake: Drone video offers bird's-eye view of damage: A new video from a privately owned drone shows ... http://t.â€¦,en,,informative
3210,382814335048773632,2013_pakistan_earthquake,crisisnlp-cf,"#earthquake: M 2.6, Central Alaska http://t.co/sFAz8knPC6",en,0.974123239517212,informative
3213,503643842865020928,2014_california_earthquake,crisisnlp-cf,Napa County tallies quake wine damage ~$38 million - all types of resources needed  http://t.co/n6FToOOOYE,en,,informative
3216,498504236347711488,2014_india_floods,crisisnlp-cf,"RT @kkunjgrd: Poor Assomiyas, always at the wrong end of the deal. They deserve to receive full attention of Indian Govt to stop the flood ‰Û_",en,1.0,informative
3226,503643903762104320,2014_california_earthquake,crisisnlp-cf,UPDATE: 6.0-magnitude earthquake hits California Bay Area http://t.co/Btm2D8rndz,en,,informative
3228,575765891259871232,2015_vanuatu_cyclone,crisisnlp-cf,RT @dna: Cyclone devastates Pacific island nation of Vanuatu; atleast 8 dead http://t.co/wBMajOLzNx,en,,informative
3229,498510243177848833,2014_india_floods,crisisnlp-cf,"#timesofindia Nepal flood toll hits 101, fears of disease rise: Nepalese authorities said Monday they feared a... http://t.co/7845C9rMTD",en,1.0,informative
3234,451190343078543360,2014_chile_earthquake,crisisnlp-cf,RT @STForeignDesk: UPDATE: Chileäó»s navy says a tsunami has already hit some areas in north of country following a massive earthquake offshoäó_,en,1.0,informative
3237,451188223738273792,2014_chile_earthquake,crisisnlp-cf,RT @ABC: 6 dead following major magnitude 8.2 earthquake off Chile; damage being assessed as daybreak comes: http://t.co/a3guGL5TmL,en,1.0,informative
3239,575776395982405633,2015_vanuatu_cyclone,crisisnlp-cf,@metwxpatrick Pretty cool are not words that should be used when referring to a cyclone that has caused total devastation.,en,,informative
3241,451188934404345857,2014_chile_earthquake,crisisnlp-cf,Hope everyone is safe from all of these earth quakes that have been going on. Prayers #EarthquakeChile #earthquake #PrayForChile,en,1.0,informative
3244,575772513474584577,2015_vanuatu_cyclone,crisisnlp-cf,RT @28storms: Sobering before &amp; after #CyclonePAM pictures from an island of Vanuatu (via William Dyer) http://t.co/qezAKI0XRv,en,,informative
3248,498511789681037312,2014_india_floods,crisisnlp-cf,#India: #Four killed as train hits tempo in Bihar - http://t.co/Vu7CvWWd2p,en,1.0,informative
3250,575771466404249600,2015_vanuatu_cyclone,crisisnlp-cf,GS 4.2's @KylanRice discusses the poetry of Pam Rehm with some fellow readers via this @Colorado_Review podcast: http://t.co/YJkEHgALQw,en,,not_informative
3255,451189735671615488,2014_chile_earthquake,crisisnlp-cf,RT @cstclair1: #Tsunami #Chile #EarthQuake at 8.2 its one of the 5 strongest quakes measured since 2000 äó_,en,1.0,informative
3256,382815636151214080,2013_pakistan_earthquake,crisisnlp-cf,"RT @SabahatMS: Signs of Latter Days: Malfoozat, Vol2, pg 513 - Surah Al-Zilzal v 3 - Promised Messiah (as)! #earthquake #Ahmadiyya http://tâ€¦",en,0.8338481783866882,not_informative
3259,591903025301622785,2015_nepal_earthquake,crisisnlp-cf,"RT @LiberalsOfDelhi: 20,000 RSS workers are helping out in Nepal? Bigger question is, how will Khakhi chaddis survive in Himalayan cold?   ‰Û_",en,,informative
3260,382816433455259648,2013_pakistan_earthquake,crisisnlp-cf,'Taliban should open their offices 4 peace talks' If they start recruitment of new jihaidi than what #Pakistan will do? #AmanKiAsha,en,1.0,not_informative
3261,591903214649397248,2015_nepal_earthquake,crisisnlp-cf,RT @MedairInt: #NepalQuake: Watch this update from our emergency response team as they prepare to leave for #Nepal. http://t.co/LrEC6APhFN,en,,informative
3265,591903024743731200,2015_nepal_earthquake,crisisnlp-cf,"RT @abcnews: Australians missing after #Nepal #earthquake kills more than 1,300 http://t.co/1cs7UqYps5 https://t.co/VkU3HPH1Nb",en,,informative
3267,591903229736198144,2015_nepal_earthquake,crisisnlp-cf,Pray for everyone in Nepal. #EarthquakeNepal @sabanath55 @SunithaSarathy @iamlakshmirai @itisprashanth @iam_str @NikitaGandhi21,en,,informative
3269,591902696925364224,2015_nepal_earthquake,crisisnlp-cf,RT @cbanks420lol: These Baltimore niggers should move to Nepal.,en,,not_informative
3270,503643364265193472,2014_california_earthquake,crisisnlp-cf,"RT @anitalillie: LOVE it. How the Napa earthquake affected Bay Area sleepers. https://t.co/fbAXtu7p9a Awesome work, @Jawbone! cc @mrogati",en,,informative
3278,382822618291658752,2013_pakistan_earthquake,crisisnlp-cf,RT @BarryFenner: #Pakistan #explosion: #Dozens #killed in #Peshawar #market: An explosion has ripped through aâ€¦ http://t.co/stfy9RTcyV,en,1.0,informative
3283,591903378294222848,2015_nepal_earthquake,crisisnlp-cf,RT @vikas_ideas: Our prayers are with people in Nepal. Here are details of doctors in the area http://t.co/4bIdIYnWKF  #Earthquake,en,,informative
3284,575794867386720256,2015_vanuatu_cyclone,crisisnlp-cf,RT @9NewsAUS: Australians who rode out #TCPam have touched back down in the country. @LauraTunstall9 http://t.co/QAJPF6Dyh5 #9News http://t‰Û_,en,,not_informative
3287,451189387057823746,2014_chile_earthquake,crisisnlp-cf,Chile earthquake moment caught on camera http://t.co/lQUfwwhoaa #Occupy #OWS #occupywallstreet #OccupyHQ #GrassRoots,en,1.0,informative
3291,591902980321849344,2015_nepal_earthquake,crisisnlp-cf,"RT @itvnews: Nepal is 'overwhelmed' following the deadly earthquake, reports @danieljerivers from Kathmandu http://t.co/EtRZDlYBTb http://t‰Û_",en,,informative
3294,591903348288147457,2015_nepal_earthquake,crisisnlp-cf,RT @MEAcontrolroom: #NepalEarthquake  Nepal Government Helpline 0097714200257,en,,informative
3295,591902697487405056,2015_nepal_earthquake,crisisnlp-cf,RT @ndtv: Thousands flee Kathmandu as India steps up relief efforts in Nepal: 10 developments http://t.co/2PSUwTRqv5 http://t.co/0yVpcvhjED,en,,informative
3298,498498722150752256,2014_india_floods,crisisnlp-cf,#Death #Toll #From 3 #Days of #Flooding and #Torrential #Rain in #Nepal and #India #Rises to #More #Than ... http://t.co/XoAW8QD1DJ,en,1.0,not_informative
3303,451188314121715712,2014_chile_earthquake,crisisnlp-cf,RT @DoctorKarl: Amazing animation of Chile April 1 Tsunami moving across Pacific. http://t.co/lbAGMSwnhB,en,1.0,informative
3309,503643321823420416,2014_california_earthquake,crisisnlp-cf,"Top story: Northern California Shaken by 6.0 Magnitude Earthquake - ABC News http://t.co/qP5Jp1gtEW, see more http://t.co/js1iSsacp5",en,,informative
3314,575764133032800257,2015_vanuatu_cyclone,crisisnlp-cf,World Briefing: Vanuatu: Cyclone Toll Rises: International aid agencies were preparing to begin emergency heli... http://t.co/mPjNpYooIH,en,,informative
3315,591903016229347328,2015_nepal_earthquake,crisisnlp-cf,"RT @MSGTheFilm: The news  about Earthquake in Nepal and parts of India, is really shocking #MSGHelpEarthquakeVictims &amp; wid the victims in t‰Û_",en,,informative
3318,451188689335361536,2014_chile_earthquake,crisisnlp-cf,RT @gosadurigow: _¿ãó____!!!!! http://t.co/EGOCY7UN2J #PrayForChile My Lover&amp;#39;s Husband,en,1.0,informative
3322,503644280439570432,2014_california_earthquake,crisisnlp-cf,Napa earthquake hastens calls for warning system (Seattle Times: Business and Technology) http://t.co/xifEwgymNH,en,,informative
3325,575753136620638210,2015_vanuatu_cyclone,crisisnlp-cf,RT @johnspatricc: åÈ http://t.co/OeND9NJzGy cyclone Olwyn #cycloneOlwyn Cyclone Olwyn continues to weaken åÈ UPDATE åÈ New South Wales AU‰Û_ htt‰Û_,en,,informative
3330,503643908438786050,2014_california_earthquake,crisisnlp-cf,"VIDEO: California shaken by earthquake: An earthquake with a magnitude of 6.0 shakes northern California, caus... http://t.co/4Es9e0HExx",en,,informative
3332,591903234307981312,2015_nepal_earthquake,crisisnlp-cf,"RT @NrnShrestha: Mainstream news r covering mostly Kathmandu, badly needed updates from rural villages #NepalEarthquake",en,,informative
3334,451188583643496448,2014_chile_earthquake,crisisnlp-cf,RT @forkoffcruelty: My thoughts are with the poor people and #animals affected by the #chile #earthquake,en,1.0,informative
3336,503645598935822336,2014_california_earthquake,crisisnlp-cf,Netanyahu announces California earthquake payback for anti semites &amp; self-haters preventing God's boat from docking in oakland.,en,,informative
3340,382834642514378752,2013_pakistan_earthquake,crisisnlp-cf,"RT @Miandaddy: On a serious note, please donate generously for the #Earthquake victims. Aap naya iPhone ya naya console baad main bhi khareâ€¦",en,0.7345945239067078,informative
3342,591903065801822208,2015_nepal_earthquake,crisisnlp-cf,@karanjohar @AnushkaSharma 1500 Killed In #NepalEarthquake . Watch Affected Places Here &gt;&gt; https://t.co/SvhVcasRFE,en,,informative
3351,591903025519693824,2015_nepal_earthquake,crisisnlp-cf,Israel Criticized For Leaving Pregnant Surrogates In Nepal http://t.co/rTfqukmS2i,en,,not_informative
3353,591902799786442752,2015_nepal_earthquake,crisisnlp-cf,RT @oxfamgb: We are preparing to help provide clean water and emergency food in Nepal. You can help: http://t.co/QwvzzE0Xmc http://t.co/LS8‰Û_,en,,informative
3359,451189089279016960,2014_chile_earthquake,crisisnlp-cf,My prayers go out to those effected by #ChileEarthquake.,en,1.0,informative
3369,575780102543269888,2015_vanuatu_cyclone,crisisnlp-cf,"Hey @RepGuthrie @RepPhilGingrey, Pam G. of MN sez fast lanes hurt innovation. Support #NetNeutrality",en,,informative
3370,591903106402750465,2015_nepal_earthquake,crisisnlp-cf,"RT @AgentSaffron: Prime specimen of a #SoulVultures , feeding off the suffering of our brethren in Nepal http://t.co/NA7yY7W09Y",en,,informative
3374,575795584327622656,2015_vanuatu_cyclone,crisisnlp-cf,RT @FRANCE24: Aid teams signal death and widespread devastation in cyclone-hit Vanuatu http://t.co/XLIVcgGJ1Y http://t.co/azAXq2yfkO,en,,informative
3376,591902717464875008,2015_nepal_earthquake,crisisnlp-cf,RT @SkymetWeather: #Earthquake: Latest image of Indian aircraft leaving for #Nepal from Hindon base. #NepalQuakeRelief http://t.co/ca6fwyY3‰Û_,en,,informative
3377,575739867256086529,2015_vanuatu_cyclone,crisisnlp-cf,RT @Franklin_Graham: We are sending a @samaritanspurse medical team to set up a mobile clinic with outpatient care for victims of #CycloneP‰Û_,en,,informative
3379,503644081982304256,2014_california_earthquake,crisisnlp-cf,"Life California Wine Country Earthquake Injures Dozens: NAPA,... http://t.co/CbsmmmK6Gm #SliceofLife #USNews #California #earthquake #Napa",en,,informative
3380,575773091504218112,2015_vanuatu_cyclone,crisisnlp-cf,ICYMI: #Vanuatu severely affected by #CyclonePam. We‰Ûªve deployed personnel to quickly assess situation &amp; find best ways to help,en,,informative
3388,498503790447050752,2014_india_floods,crisisnlp-cf,At Least 160 People Died At Floods In India And Nepal.: At least 160 people are reported to have been killed i... http://t.co/ljRqd86D17,en,1.0,informative
3389,591902870955544576,2015_nepal_earthquake,crisisnlp-cf,"RT @mama_finch_: Jacob Riordan, my baby brother, missing since the #earthquake in #nepal. Pls RT and contact us if you've seen him. http://‰Û_",en,,informative
3392,498510664252395520,2014_india_floods,crisisnlp-cf,Odisha flood Govt help a little late in coming http://t.co/TOLHZWooSs #india,en,1.0,informative
3399,575741048644890624,2015_vanuatu_cyclone,crisisnlp-cf,RT @robwoozle: Selling fave guitar for ZoÌÇ's aid flight to Pentecost. '90 USA Fender Strat + DLX. $2k firm #withVanuatu #CyclonePam http://‰Û_,en,,not_informative
3404,591903090359439360,2015_nepal_earthquake,crisisnlp-cf,@EthicalMan Wondering about water supply? I've seen a river &amp; fires‰ÛÓso boil &amp; charcoal purification should at least be possible. #Nepal,en,,informative
3405,591903279023575040,2015_nepal_earthquake,crisisnlp-cf,This Nepal earthquake is horrible. ‡_£3,en,,informative
3406,451190140321681409,2014_chile_earthquake,crisisnlp-cf,Thoughts &amp; prayers for everyone in Chile. _ôÖî_ô» #PrayForChile,en,1.0,informative
3407,382820174677946368,2013_pakistan_earthquake,crisisnlp-cf,death toll rises and survivors suffer . #Pakistan #Earthquake  http://t.co/UZGokP1xLt,en,1.0,informative
3409,503643502723735553,2014_california_earthquake,crisisnlp-cf,[ #Luiis_3x ] Skaters Make Best of Napa Earthquake by Shredding Buckled Streets: To quote Jurass... http://t.co/aMxLIBJ5tM [ #Luiis_3x ],en,,informative
3410,575767038544715776,2015_vanuatu_cyclone,crisisnlp-cf,"Cyclone 'devastates' Pacific islands: Cyclone Pam has completely devastated the islands of Vanuatu, and coul... http://t.co/Kvxmzzg7nd",en,,informative
3412,503643234498015232,2014_california_earthquake,crisisnlp-cf,RT @CityofNapa: The 10am City of Napa earthquake recovery status report is now posted at http://t.co/aMRmWlHe1l #napaquake,en,,informative
3418,382833700854980608,2013_pakistan_earthquake,crisisnlp-cf,RT @Tariq_Vaid: #Islam DOES NOT give Permission to attack Minorities. Don't blame or accuse Islam of all these wrongdoings. #Pakistan #Peshâ€¦,en,1.0,not_informative
3423,591903039906152448,2015_nepal_earthquake,crisisnlp-cf,Facebook and Google Respond to Nepal Earthquake With Tech Tools http://t.co/SrZ9NYgWau,en,,informative
3425,503645129983660032,2014_california_earthquake,crisisnlp-cf,RT @newscientist: Last weekend's 6.0 earthquake in California piled up stress on the dangerous Hayward fault http://t.co/RR5tRf0RNO #napaquâ€¦,en,,informative
3428,451188891056209920,2014_chile_earthquake,crisisnlp-cf,@Nelliejhdae I only follow people who follow me ...,en,1.0,not_informative
3432,451187912298987520,2014_chile_earthquake,crisisnlp-cf,"God bless Chile #PrayForChile, God safe Indonesia (Bali) and all province, God beside we, God loves we *67",en,1.0,informative
3434,575764440701739008,2015_vanuatu_cyclone,crisisnlp-cf,RT @HuffingtonPost: 'Monster' cyclone leaves trail of devastation in Vanuatu http://t.co/659XD3d52A,en,,informative
3439,451188618673917955,2014_chile_earthquake,crisisnlp-cf,My family's country just got a 8.3 earthquake that hit chile and peru yesterday. And u guys are starting this drama on @Mr_Carterr  wtf.,en,1.0,informative
3440,591903022906609664,2015_nepal_earthquake,crisisnlp-cf,RT @bubzbeauty: Nepal needs our help too! http://t.co/OEkx45Ye9Y,en,,informative
3445,503643323844685825,2014_california_earthquake,crisisnlp-cf,Jawbone reveals how many Up users were woken up by the Napa earthquake http://t.co/ziWH3qGoVW,en,,informative
3446,575751398999990272,2015_vanuatu_cyclone,crisisnlp-cf,RT @mashable: Category 5 Cyclone Pam may cause major damage in Vanuatu http://t.co/wXEZG1xWHn #cyclonepam,en,,informative
3454,591903258261598208,2015_nepal_earthquake,crisisnlp-cf,NDTV News - World: Nepal Earthquake: Gujarat in Touch With Centre to Ensure Return of Gujaratis - NDTV News... http://t.co/EP7I36WVRU,en,,informative
3456,451190373214593024,2014_chile_earthquake,crisisnlp-cf,Prayers going out to the people of Chile this am. 8.1 magnitude earthquake struck. tsunami evacuations in place.,en,1.0,informative
3460,591902875766235136,2015_nepal_earthquake,crisisnlp-cf,RT @vakeel_saheba: A friend of mine was in Nepal for a trek. He can't be contacted now. Please RT #NepalHelpNeeded #NepalEarhquake http://t‰Û_,en,,informative
3461,591903019270180864,2015_nepal_earthquake,crisisnlp-cf,RT @Habibies: My Prayers with people of #Nepal &amp; across #India after the massive 7.9 magnitude #Earthquake. Hope everyone is safe! http://t‰Û_,en,,informative
3467,591903059778768896,2015_nepal_earthquake,crisisnlp-cf,#BaltimoreRiots look at all those poor people who died in #NepalEarthquake and ur worried about #Rioting n #violence #NepalQuake,en,,informative
3472,451189151439011841,2014_chile_earthquake,crisisnlp-cf,"@LittleMix Chile is suffering strong earthquakes of more than 9.0 degrees, and risks of tsunami #PrayForChile",en,1.0,informative
3473,498508270890258432,2014_india_floods,crisisnlp-cf,10-May-1981The first day and night cricket match of India was played at the flood-lit ground of the Wilson College Gymkhana (Bombay).,en,1.0,not_informative
3476,451188934047838208,2014_chile_earthquake,crisisnlp-cf,"World News: 1)Chile assesses damage after massive quake, tsunami 2)Armed men abduct Chinese, Philippine women from Malaysia resort: reports",en,1.0,informative
3481,591902767570132992,2015_nepal_earthquake,crisisnlp-cf,@BBCSanjoyM really hope the operation to rescue the kid be successful. PRAYERS #NepalEarthquake,en,,informative
3483,575784229675520001,2015_vanuatu_cyclone,crisisnlp-cf,Give Aid to Victims of Disastrous Cyclone http://t.co/d6FU0Sogp1,en,,informative
3486,498504027135418370,2014_india_floods,crisisnlp-cf,flood furry in north india - Bubblews http://t.co/e1B2rrj6bH via @GoBubblews,en,1.0,informative
3498,382814978098483200,2013_pakistan_earthquake,crisisnlp-cf,RT @WakeUpMessage: You didn't believe the new Island rising due to the #earthquake? Watch this before it gets removed :) http://t.co/3buqd4â€¦,en,1.0,not_informative
3500,591903379904811008,2015_nepal_earthquake,crisisnlp-cf,RT @timesofindia: #NepalEarthquake Eighteen bodies recovered from Mount Everest base camp. Follow latest here: http://t.co/8jS83i23BQ http:‰Û_,en,,informative
3505,591902800386203650,2015_nepal_earthquake,crisisnlp-cf,"Earthquake has shifted Kathmandu 10 feet closer to India, away from China. It was God's punishment to Nepal for cosying up to China?",en,,informative
3514,591903366369837056,2015_nepal_earthquake,crisisnlp-cf,Quake Aftermath Widens Nepal's Political Divisions: The earthquake that jolted Nepal last week also sent shock... http://t.co/WMqP2Qm76V,en,,informative
3522,503645252956475393,2014_california_earthquake,crisisnlp-cf,RT @KRON4DVillareal: Napa County vintners announces $10mil fund for #napaquake aid @kron4news http://t.co/f6LIPzzINW,en,,informative
3523,575738350671257600,2015_vanuatu_cyclone,crisisnlp-cf,Uff!! it caught ;-) 'Unbelievable destruction' reported in Tropical Cyclone Pam's wake - CNN: CNN'Unbe... http://t.co/q1a04GR7IS #gossip,en,,informative
3524,575740769484439552,2015_vanuatu_cyclone,crisisnlp-cf,RT @MoveTheWorld: Food running critically short in #Vanuatu after #TCPam. Please help us help animals: http://t.co/EbU4d9j3PX http://t.co/5‰Û_,en,,informative
3527,498507610421993472,2014_india_floods,crisisnlp-cf,"GOVT NOT DOING ENOUGH , SAY ODISHA INDIA VILLAGERS WHO LOST EVERYTHING IN FLOOD http://t.co/4he0Uzemgj",en,1.0,informative
3532,591902749157031937,2015_nepal_earthquake,crisisnlp-cf,"RT @thelindsayellis: UNICEF is one of your best bets where international disaster relief is concerned - https://t.co/TAItAeVsRs Send money,‰Û_",en,,informative
3533,451187944649281538,2014_chile_earthquake,crisisnlp-cf,RT @kheshisantos: another country needs our help and prayers. let's help them to the extent of what we can offer. #PrayForChile,en,1.0,informative
3534,591903128808771585,2015_nepal_earthquake,crisisnlp-cf,"RT @ANI_news: Amritsar: Shiromani Gurdwara Parbandhak Committee (SGPC) to send food, relief material to Nepal. #NepalEarthquake http://t.co‰Û_",en,,informative
3535,575771084223483904,2015_vanuatu_cyclone,crisisnlp-cf,Communities take shelter as Cyclone Nathan lashes Arnhem Land coast http://t.co/EewoTTWv8B #abcnews http://t.co/AHCzv73U6d,en,,informative
3540,451188727713247232,2014_chile_earthquake,crisisnlp-cf,RT @truthout: #Chile Derails #Monsanto Law That Would Privatize Seeds http://t.co/6lioZnzuQK #GMOs,en,1.0,not_informative
3542,575769545958277120,2015_vanuatu_cyclone,crisisnlp-cf,Israeli NGO sends relief workers to Pacific island in wake of cyclone http://t.co/HB4wIea5uC,en,,informative
3546,382832227848974336,2013_pakistan_earthquake,crisisnlp-cf,"RT @KaleemAltafi: 6.8 magnitude earthquake in Pakistan, tremors felt in and around Delhi! #Earthquake",en,1.0,informative
3550,575743734563934208,2015_vanuatu_cyclone,crisisnlp-cf,Vanuatu won't be the last poor country devastated by climate change inaction  http://t.co/qm3BlTgnHJ,en,,informative
3551,382837428857221120,2013_pakistan_earthquake,crisisnlp-cf,RT @realsyedasarwat: May ALLAH give them strength who's family/relatives dead in #earthquake my prayers r with them! ðŸ˜”,en,1.0,informative
3554,503645161138565120,2014_california_earthquake,crisisnlp-cf,RT @TandEKFI: USGS: 6.0 earthquake shakes California's Bay Area http://t.co/MgHENUpSH5,en,,informative
3564,575756948525600768,2015_vanuatu_cyclone,crisisnlp-cf,"Aid workers scramble to help cyclone victims: The fury of Tropical Cyclone Pam, one of the most powerful storm... http://t.co/gMcGc2CNtu",en,,informative
3565,382829694951124993,2013_pakistan_earthquake,crisisnlp-cf,RT +10 @haziq_qadri: Happy birthday to our Quaid @sageelani sb. Allah bless you always. #Kashmir #Pakistan,en,0.6940904259681702,not_informative
3574,575745606389342208,2015_vanuatu_cyclone,crisisnlp-cf,"RT @cnni: Here‰Ûªs how to help #Vanuatu, where some of the Pacific‰Ûªs poorest residents have been hit hard by #TropicalCyclonePam http://t.co/‰Û_",en,,informative
3576,575773640936984576,2015_vanuatu_cyclone,crisisnlp-cf,"RT @DickieV: Remember Cyclone fans, Iowa State is a great finisher with five straight comeback wins.",en,,not_informative
3577,503645610197544960,2014_california_earthquake,crisisnlp-cf,(â™¡Alixandro Wilsonâ™¡) Renewed Calls for Early-Warning System After Quake: California q... http://t.co/MIVdKCCyfU (â™¡Alixandro Wilsonâ™¡),en,,informative
3579,382822699833102336,2013_pakistan_earthquake,crisisnlp-cf,RT @Barifee: Victims of #Balochistan #Earthquake still waiting for aid &amp; relief. @ICRC @Oxfam @RedCross @StateDept @UN @BBCWorld http://t.câ€¦,en,1.0,informative
3583,575756286660251648,2015_vanuatu_cyclone,crisisnlp-cf,Human rights groups say civil liberties and democratic freedoms have suffered during Putin's rule. #humanrights http://t.co/DxYq3NZ0tV,en,,not_informative
3597,591903128112365568,2015_nepal_earthquake,crisisnlp-cf,RT @RajapaksaNamal: My heart goes out to the people of #Nepal after the deadly #earthquake. They are in our prayers.,en,,informative
3600,451189715383746560,2014_chile_earthquake,crisisnlp-cf,Learning how to do disaster response right from earthquakes past: http://t.co/TbsxH6Wp7b,en,1.0,informative
3609,591903084055519232,2015_nepal_earthquake,crisisnlp-cf,RT @mellberr: åÈ http://t.co/rh0bPQdjMD #Nepalearthquake Nepal earthquake See India s Rescue Operations in Quake-Devastated Nepal åÈ NEWS åÈ S‰Û_,en,,informative
3614,382833148922314753,2013_pakistan_earthquake,crisisnlp-cf,"#Earthquake of M 4.7, Owen Fracture Zone Region http://t.co/j9wjDYHTsN",en,1.0,informative
3618,575757615600373760,2015_vanuatu_cyclone,crisisnlp-cf,WL Toys V262 Cyclone UFO 4 Channel 6 Axis Gyro Quadcopter 2.4Ghz Ready to Fly (Green) http://t.co/v7KbTZVbNK,en,,not_informative
3623,382819489512828928,2013_pakistan_earthquake,crisisnlp-cf,"RT @AsimBajwaISPR: #Earthquake:many contacting to send relief items to affected people.Collection points made in Kci,Lhr, Rwp/ Isd.Detail râ€¦",en,1.0,informative
3626,451190516718534656,2014_chile_earthquake,crisisnlp-cf,"new icon, Header &amp; fondo &lt;3",en,1.0,not_informative
3627,451187704454475776,2014_chile_earthquake,crisisnlp-cf,RT @PzFeed: BREAKING: Pacific Tsunami Warning Center puts preliminary magnitude of quake off northern Chile at 7.4,en,1.0,informative
3628,575753187799388161,2015_vanuatu_cyclone,crisisnlp-cf,Australian RAAF flight getting all set to deliver aid and transport relief specialists to #Vanuatu #CyclonePam. http://t.co/RXN7nrlOBt,en,,informative
3629,591903095812071424,2015_nepal_earthquake,crisisnlp-cf,Anyone else find it obscene that two guys punching each other in the head attracts a $300million pay day while the people of Nepal starve?,en,,not_informative
3633,575780058373185539,2015_vanuatu_cyclone,crisisnlp-cf,"RT @IOM_news: The cyclone that hit #Vanuatu has been compared to a monster, made worse by #climatechange. HT @BBC http://t.co/nAODowx1eq ‰Û_",en,,informative
3634,591903279258308609,2015_nepal_earthquake,crisisnlp-cf,RT @rayyykneee: Prolly only 5 people knows about Nepal's earthquake in my school.Smh. They're on Twitter 24/7 but they ignore it cuz it's n‰Û_,en,,informative
3637,498502999011258368,2014_india_floods,crisisnlp-cf,"RT @krk77: @3mcarcareindia Especially when it rains lyk a flood, i hate to drive, even hate to walk #DrivingExcuses #CarmicMakeover",en,1.0,not_informative
3642,591903071187271680,2015_nepal_earthquake,crisisnlp-cf,RT @timesofindia: #NepalEarthquake Emergency numbers are +977 4200-250 and +977 4200-105.,en,,informative
3644,591903293565079552,2015_nepal_earthquake,crisisnlp-cf,RT @AFPphoto: Rescuers from Japan are seen in the historical centre of Kathmandu. By @AFP's @philippe_lopez. #NepalEarthquake http://t.co/Q‰Û_,en,,informative
3650,575740882621710336,2015_vanuatu_cyclone,crisisnlp-cf,RT @MMAMAYHEMRADIO: @pamdoraboxx @uniquekennels71 I'm trying to warn people Pam for real.#mmamayhem,en,,informative
3651,382818863072960512,2013_pakistan_earthquake,crisisnlp-cf,#Praying all survivors are found  from the #earthquake in #Pakistan,en,1.0,informative
3654,575796944041345025,2015_vanuatu_cyclone,crisisnlp-cf,"RT @OCHAAsiaPac: 65,000 people in #Vanuatu are in need of temporary emergency shelter #TCPam http://t.co/rFGmbX2gCM",en,,informative
3655,503644845479837696,2014_california_earthquake,crisisnlp-cf,Update on Napa earthquake &amp; damage caused. Sad about all lost wine but at least no fatalities. http://t.co/NX2CLbTjeW,en,,informative
3659,591902852555018240,2015_nepal_earthquake,crisisnlp-cf,"RT @Niwomb1: We are needy #world, we need more help &amp; support. #earthquake #NepalEarthquake #NepalQuakeRelief #Nepal #EarthquakeAgain #Supp‰Û_",en,,informative
